kernel_radius, b  , c  , h  , w  , max_fn_sec, max_fn_value, luca_fn_sec          , luca_fn_value
            2,   8, 128,  16,  16,           ,             , 0.00710538499993163  , 0.9973645806312561
            2,   8, 128,  32,  32,           ,             , 0.028634323999995104 , 0.9980727434158325
            2,   8, 128,  64,  64,           ,             , 0.11287248400003591  , 0.9986687302589417
            2,   8, 128, 128, 128,           ,             , 0.45231272299997727  , 0.9994844794273376
            2,  16,   4,   4,   4,           ,             , 0.0010460309999871242, 0.6913562417030334
            2,  16,   4,   8,   8,           ,             , 0.0008828560000893049, 0.6785424947738647
            2,  16,   4,  16,  16,           ,             , 0.0010899110000082146, 0.7538595199584961
            2,  16,   4,  32,  32,           ,             , 0.0009052440000232309, 0.8273279666900635
            2,  16,   4,  64,  64,           ,             , 0.000879830000030779 , 0.8031152486801147
            2,  16,   4, 128, 128,           ,             , 0.0011174909998317162, 0.9068514704704285
            2,  16,   8,   4,   4,           ,             , 0.0008778660001098615, 0.5641341805458069
            2,  16,   8,   8,   8,           ,             , 0.0008799509998880239, 0.7384051084518433
            2,  16,   8,  16,  16,           ,             , 0.0008799990000625257, 0.7778621315956116
            2,  16,   8,  32,  32,           ,             , 0.0008931739998843113, 0.8474933505058289
            2,  16,   8,  64,  64,           ,             , 0.0010705980000693671, 0.8524780869483948
            2,  16,   8, 128, 128,           ,             , 0.0026102589999936754, 0.8686943054199219
            2,  16,  16,   4,   4,           ,             , 0.0006907150000188267, 0.723179817199707
            2,  16,  16,   8,   8,           ,             , 0.000659138000173698 , 0.7486054301261902
            2,  16,  16,  16,  16,           ,             , 0.0006839500001660781, 0.8052456974983215
            2,  16,  16,  32,  32,           ,             , 0.0007302120000076684, 0.8609112501144409
            2,  16,  16,  64,  64,           ,             , 0.0019638449998637952, 0.8605912923812866
            2,  16,  16, 128, 128,           ,             , 0.006893257999990965 , 0.9116785526275635
            2,  16,  32,   4,   4,           ,             , 0.000735906000045361 , 0.8261758685112
            2,  16,  32,   8,   8,           ,             , 0.0006560629999512457, 0.8824869394302368
            2,  16,  32,  16,  16,           ,             , 0.0007084970000050816, 0.8639755249023438
