kernel_radius, b  , c  , h  , w  , luca_fn_sec       , luca_fn_value         , max_fn_sec         , max_fn_value
            2,   4,   4,   4,   4, 0.0011725879999744, 0.016082763671875     ,  0.084899885001505 , 0.040435791015625
            2,   4,   4,   8,   8, 0.0010855870000341, 0.0041427612304687    ,  0.0645935409993399, 0.0058670043945312
            2,   4,   4,  16,  16, 0.0008951469999942, 0.0009565353393554    ,  0.0665493420019629, 0.0011482238769531
            2,   4,   4,  32,  32, 0.0007773500000212, 0.0002181529998779    ,  0.0690891960002773, 0.0002369880676269
            2,   4,   4,  64,  64, 0.0007455829999685, 6.031990051269531e-05 ,  0.0720363700020243, 6.270408630371094e-05
            2,   4,   4, 128, 128, 0.0007828899999822, 1.52587890625e-05     ,  0.0681257830001413, 1.6987323760986328e-05
            2,   4,   8,   4,   4, 0.0007548810000344, 0.0161590576171875    ,  0.2465900009992765, 0.0404052734375
            2,   4,   8,   8,   8, 0.0006524920000288, 0.003997802734375     ,  0.2427664090027974, 0.0056304931640625
            2,   4,   8,  16,  16, 0.0006689810000466, 0.0009379386901855    ,  0.2742460339977697, 0.0011024475097656
            2,   4,   8,  32,  32, 0.00091396199997  , 0.0002481937408447    ,  0.2800393199977407, 0.0002696514129638
            2,   4,   8,  64,  64, 0.0008349110000267, 6.079673767089844e-05 ,  0.2501657529974181, 6.395578384399414e-05
            2,   4,   8, 128, 128, 0.0009048210000059, 1.5616416931152344e-05,  0.2960322759972769, 1.5020370483398438e-05
            2,   4,  16,   4,   4, 0.0006617319999691, 0.0156707763671875    ,  0.9878735550009878, 0.039703369140625
            2,   4,  16,   8,   8, 0.0006801260000202, 0.0040550231933593    ,  0.8624310599989258, 0.0058212280273437
            2,   4,  16,  16,  16, 0.0010346169999593, 0.0009784698486328    ,  0.9573996020008052, 0.001138687133789
            2,   4,  16,  32,  32, 0.000771444999998 , 0.0002304315567016    ,  0.8568784430026426, 0.0002884864807128
            2,   4,  16,  64,  64, 0.0007074459999785, 5.91278076171875e-05  ,  0.8926938839977083, 6.538629531860352e-05
            2,   4,  16, 128, 128, 0.0013247320000004, 1.4781951904296877e-05,  0.9287583990007988, 1.5914440155029297e-05
